PL_01x01
i        j       Height(m a.s.l.)
38       62      1.02000E+02
38       63      1.11000E+02
38       64      1.14300E+02
38       65      1.06200E+02
38       66      1.03300E+02
38       67      9.22600E+01
38       68      5.33100E+01
38       69      1.81700E+01
38       70      3.37300E+00
38       71      1.73600E-01
38       72      0.00000E+00
38       73      0.00000E+00
38       74      0.00000E+00
38       75      0.00000E+00
38       76      0.00000E+00
38       77      0.00000E+00
38       78      0.00000E+00
38       79      0.00000E+00
38       80      0.00000E+00
38       81      0.00000E+00
38       82      0.00000E+00
38       83      0.00000E+00
38       84      0.00000E+00
38       85      0.00000E+00
38       86      0.00000E+00
38       87      0.00000E+00
38       88      0.00000E+00
38       89      7.63900E-02
38       90      1.21600E+01
38       91      5.25900E+01
38       92      8.32000E+01
38       93      9.19900E+01
38       94      9.92700E+01
38       95      1.14800E+02
38       96      1.41400E+02
38       97      1.61800E+02
38       98      1.65700E+02
38       99      1.70100E+02
38       100     1.72900E+02
38       101     1.57800E+02
38       102     1.52700E+02
38       103     1.66100E+02
38       104     1.71500E+02
39       1       5.23800E+02
39       2       6.61000E+02
39       3       8.86700E+02
39       4       1.06100E+03
39       5       1.00900E+03
39       6       9.19400E+02
39       7       8.28600E+02
39       8       7.20800E+02
39       9       5.92700E+02
39       10      3.91600E+02
39       11      2.46400E+02
39       12      1.93100E+02
39       13      2.40400E+02
39       14      3.07100E+02
39       15      3.32700E+02
39       16      3.70700E+02
39       17      4.10500E+02
39       18      4.18000E+02
39       19      4.40000E+02
39       20      4.75700E+02
39       21      5.03800E+02
39       22      5.47700E+02
39       23      5.69100E+02
39       24      5.76000E+02
39       25      6.08300E+02
39       26      5.71400E+02
39       27      4.16500E+02
39       28      2.65000E+02
39       29      2.19800E+02
39       30      2.33700E+02
39       31      2.45100E+02
39       32      2.97600E+02
39       33      3.74800E+02
39       34      4.86700E+02
39       35      6.86300E+02
39       36      7.14300E+02
39       37      5.39400E+02
39       38      4.24400E+02
39       39      3.25800E+02
39       40      2.30500E+02
39       41      1.84800E+02
39       42      1.57300E+02
39       43      1.46500E+02
39       44      1.45800E+02
39       45      1.28400E+02
39       46      8.71700E+01
39       47      6.65600E+01
39       48      6.00800E+01
39       49      5.43900E+01
39       50      6.01200E+01
39       51      6.47800E+01
39       52      6.70700E+01
39       53      7.36500E+01
39       54      6.96300E+01
39       55      5.32600E+01
39       56      4.48700E+01
39       57      4.88500E+01
39       58      6.14400E+01
39       59      7.26300E+01
39       60      8.15500E+01
39       61      9.68000E+01
39       62      1.08900E+02
39       63      1.14000E+02
39       64      1.22400E+02
39       65      1.25500E+02
39       66      1.21700E+02
39       67      9.91600E+01
39       68      4.91100E+01
39       69      1.37800E+01
39       70      4.88900E+00
39       71      9.97700E-01
39       72      0.00000E+00
39       73      0.00000E+00
39       74      0.00000E+00
39       75      0.00000E+00
39       76      0.00000E+00
39       77      0.00000E+00
39       78      0.00000E+00
39       79      0.00000E+00
39       80      0.00000E+00
39       81      0.00000E+00
39       82      0.00000E+00
39       83      0.00000E+00
39       84      0.00000E+00
39       85      0.00000E+00
39       86      0.00000E+00
39       87      0.00000E+00
39       88      0.00000E+00
39       89      1.04200E-01
39       90      1.21600E+01
39       91      4.08500E+01
39       92      5.75200E+01
39       93      6.34200E+01
39       94      7.53100E+01
39       95      8.91600E+01
39       96      1.08300E+02
39       97      1.26000E+02
39       98      1.33400E+02
39       99      1.43000E+02
39       100     1.45500E+02
39       101     1.35400E+02
39       102     1.35600E+02
39       103     1.45500E+02
39       104     1.52000E+02
40       1       4.51900E+02
40       2       5.52700E+02
40       3       7.80900E+02
40       4       9.42300E+02
40       5       7.90000E+02
40       6       6.72500E+02
40       7       6.92100E+02
40       8       6.41000E+02
40       9       5.52300E+02
40       10      4.07700E+02
40       11      2.49100E+02
40       12      1.87400E+02
40       13      2.32800E+02
40       14      2.69900E+02
40       15      2.65700E+02
40       16      2.92900E+02
40       17      3.48100E+02
40       18      3.80500E+02
40       19      4.21400E+02
40       20      4.61100E+02
40       21      4.79200E+02
40       22      5.18700E+02
40       23      5.58300E+02
40       24      6.06700E+02
40       25      6.63800E+02
40       26      5.94300E+02
40       27      4.01800E+02
40       28      2.64400E+02
40       29      2.37800E+02
40       30      2.47500E+02
40       31      2.42200E+02
40       32      2.79700E+02
40       33      3.81800E+02
40       34      4.90100E+02
40       35      5.67700E+02
40       36      5.77200E+02
40       37      5.36900E+02
40       38      4.57600E+02
40       39      3.30100E+02
40       40      2.10900E+02
40       41      1.54300E+02
40       42      1.44600E+02
40       43      1.47200E+02
40       44      1.48800E+02
40       45      1.23600E+02
40       46      8.49100E+01
40       47      7.08700E+01
40       48      6.19300E+01
40       49      4.98800E+01
40       50      5.03100E+01
40       51      5.63900E+01
40       52      6.64700E+01
40       53      7.94800E+01
40       54      7.32600E+01
40       55      5.52700E+01
40       56      4.77300E+01
40       57      4.42200E+01
40       58      5.05900E+01
40       59      6.55700E+01
40       60      7.87000E+01
40       61      9.67600E+01
40       62      1.16000E+02
40       63      1.24000E+02
40       64      1.31500E+02
40       65      1.45800E+02
40       66      1.44200E+02
40       67      1.03800E+02
40       68      4.76600E+01
40       69      1.94000E+01
40       70      1.27600E+01
40       71      4.17900E+00
40       72      0.00000E+00
40       73      0.00000E+00
40       74      8.80200E-05
40       75      0.00000E+00
40       76      0.00000E+00
40       77      0.00000E+00
40       78      0.00000E+00
40       79      0.00000E+00
40       80      0.00000E+00
40       81      0.00000E+00
40       82      0.00000E+00
40       83      0.00000E+00
40       84      0.00000E+00
40       85      0.00000E+00
40       86      0.00000E+00
40       87      0.00000E+00
40       88      0.00000E+00
40       89      0.00000E+00
40       90      4.01100E+00
40       91      1.41400E+01
40       92      2.25900E+01
40       93      3.25600E+01
40       94      5.13300E+01
40       95      6.90000E+01
40       96      8.33000E+01
40       97      9.62500E+01
40       98      1.04100E+02
40       99      1.13700E+02
40       100     1.18300E+02
40       101     1.23100E+02
40       102     1.32800E+02
40       103     1.35500E+02
40       104     1.37900E+02
41       1       4.02700E+02
41       2       4.67000E+02
41       3       6.27000E+02
41       4       7.33200E+02
41       5       5.96000E+02
41       6       4.77400E+02
41       7       5.25000E+02
41       8       5.14300E+02
41       9       4.76800E+02
41       10      4.20300E+02
41       11      2.76500E+02
41       12      1.91100E+02
41       13      2.29600E+02
41       14      2.65800E+02
41       15      2.46900E+02
41       16      2.41500E+02
41       17      2.75600E+02
41       18      3.25900E+02
41       19      3.90100E+02
41       20      4.33500E+02
41       21      4.62500E+02
41       22      5.13500E+02
41       23      5.62300E+02
41       24      6.27700E+02
41       25      6.86500E+02
41       26      6.15000E+02
41       27      4.26900E+02
41       28      2.89000E+02
41       29      2.56100E+02
41       30      2.61000E+02
41       31      2.59200E+02
41       32      2.82900E+02
41       33      3.84000E+02
41       34      5.09200E+02
41       35      5.49000E+02
41       36      5.25700E+02
41       37      4.88200E+02
41       38      4.06300E+02
41       39      2.92400E+02
41       40      1.80400E+02
41       41      1.29300E+02
41       42      1.42200E+02
41       43      1.55700E+02
41       44      1.44800E+02
41       45      1.12800E+02
41       46      8.59800E+01
41       47      7.42100E+01
41       48      6.06100E+01
41       49      4.66200E+01
41       50      4.41600E+01
41       51      5.12000E+01
41       52      6.51400E+01
41       53      7.92000E+01
41       54      7.28100E+01
41       55      5.48200E+01
41       56      4.68500E+01
41       57      4.08700E+01
41       58      4.63900E+01
41       59      6.62300E+01
41       60      8.11100E+01
41       61      9.59000E+01
41       62      1.21200E+02
41       63      1.38600E+02
41       64      1.44200E+02
41       65      1.55800E+02
41       66      1.44700E+02
41       67      9.55700E+01
41       68      5.18800E+01
41       69      3.52800E+01
41       70      2.41700E+01
41       71      7.41800E+00
41       72      0.00000E+00
41       73      0.00000E+00
41       74      3.91600E-03
41       75      0.00000E+00
41       76      0.00000E+00
41       77      0.00000E+00
41       78      0.00000E+00
41       79      0.00000E+00
41       80      0.00000E+00
41       81      0.00000E+00
41       82      0.00000E+00
41       83      0.00000E+00
41       84      0.00000E+00
41       85      0.00000E+00
41       86      0.00000E+00
41       87      4.40100E-04
41       88      2.44300E-02
41       89      0.00000E+00
41       90      0.00000E+00
41       91      2.32000E-01
41       92      4.88800E+00
41       93      1.56600E+01
41       94      3.12500E+01
41       95      4.58000E+01
41       96      6.24700E+01
41       97      8.11500E+01
41       98      8.91300E+01
41       99      9.03700E+01
41       100     9.54100E+01
41       101     1.10000E+02
41       102     1.23100E+02
41       103     1.23400E+02
41       104     1.22300E+02
42       1       3.65200E+02
42       2       4.23700E+02
42       3       5.49600E+02
42       4       6.23200E+02
42       5       5.35000E+02
42       6       3.88500E+02
42       7       3.55700E+02
42       8       3.78600E+02
42       9       3.98200E+02
42       10      3.92300E+02
42       11      3.09700E+02
42       12      2.16700E+02
42       13      2.24200E+02
42       14      2.65800E+02
42       15      2.43800E+02
42       16      2.16500E+02
42       17      2.30100E+02
42       18      2.77000E+02
42       19      3.44000E+02
42       20      4.05400E+02
42       21      4.70400E+02
42       22      5.25700E+02
42       23      5.59600E+02
42       24      6.12800E+02
42       25      6.50200E+02
42       26      5.86500E+02
42       27      4.25900E+02
42       28      3.03400E+02
42       29      2.80200E+02
42       30      2.88200E+02
42       31      3.15000E+02
42       32      3.60300E+02
42       33      4.30600E+02
42       34      5.24800E+02
42       35      5.70100E+02
42       36      5.40200E+02
42       37      4.38200E+02
42       38      3.06900E+02
42       39      2.10900E+02
42       40      1.44900E+02
42       41      1.19200E+02
42       42      1.42900E+02
42       43      1.55500E+02
42       44      1.20500E+02
42       45      9.18600E+01
42       46      8.98100E+01
42       47      7.83200E+01
42       48      5.76600E+01
42       49      5.12600E+01
42       50      5.69500E+01
42       51      6.33500E+01
42       52      7.42100E+01
42       53      8.41600E+01
42       54      7.54900E+01
42       55      5.68100E+01
42       56      4.79900E+01
42       57      4.34600E+01
42       58      5.32100E+01
42       59      7.73600E+01
42       60      9.35400E+01
42       61      1.07200E+02
42       62      1.31100E+02
42       63      1.48600E+02
42       64      1.55400E+02
42       65      1.58700E+02
42       66      1.29100E+02
42       67      8.17900E+01
42       68      5.97100E+01
42       69      5.08400E+01
42       70      3.30000E+01
42       71      1.07100E+01
42       72      2.08300E-02
42       73      0.00000E+00
42       74      9.15600E-03
42       75      2.25900E-03
42       76      0.00000E+00
42       77      0.00000E+00
42       78      0.00000E+00
42       79      0.00000E+00
42       80      0.00000E+00
42       81      0.00000E+00
42       82      0.00000E+00
42       83      0.00000E+00
42       84      0.00000E+00
42       85      0.00000E+00
42       86      0.00000E+00
42       87      0.00000E+00
42       88      3.69700E-03
42       89      8.79800E-03
42       90      0.00000E+00
42       91      0.00000E+00
42       92      4.03800E-01
42       93      5.32600E+00
42       94      1.31800E+01
42       95      2.12700E+01
42       96      3.78700E+01
42       97      6.25200E+01
42       98      7.58300E+01
42       99      7.53500E+01
42       100     7.77000E+01
42       101     8.91700E+01
42       102     9.95900E+01
42       103     1.02300E+02
42       104     1.03400E+02
43       1       3.46200E+02
43       2       4.08200E+02
43       3       5.04400E+02
43       4       5.69200E+02
43       5       5.35500E+02
43       6       3.72500E+02
43       7       2.55900E+02
43       8       2.55200E+02
43       9       2.85400E+02
43       10      2.98900E+02
43       11      2.82100E+02
43       12      2.29700E+02
43       13      2.35700E+02
43       14      2.74200E+02
43       15      2.39300E+02
43       16      2.00400E+02
43       17      2.13200E+02
43       18      2.52600E+02
43       19      3.09100E+02
43       20      3.87800E+02
43       21      4.62000E+02
43       22      4.89500E+02
43       23      5.16700E+02
43       24      5.79900E+02
43       25      6.12400E+02
43       26      5.39700E+02
43       27      4.05800E+02
43       28      3.41900E+02
43       29      3.42300E+02
43       30      3.54800E+02
43       31      4.42900E+02
43       32      5.40600E+02
43       33      5.33600E+02
43       34      5.21100E+02
43       35      5.60600E+02
43       36      5.32000E+02
43       37      3.89300E+02
43       38      2.50300E+02
43       39      1.77900E+02
43       40      1.33900E+02
43       41      1.12800E+02
43       42      1.27800E+02
43       43      1.37300E+02
43       44      1.05700E+02
43       45      8.45900E+01
43       46      9.54200E+01
43       47      9.09500E+01
43       48      6.39800E+01
43       49      5.76500E+01
43       50      7.35600E+01
43       51      8.17000E+01
43       52      8.37500E+01
43       53      8.68100E+01
43       54      8.13100E+01
43       55      6.54900E+01
43       56      5.22100E+01
43       57      4.66700E+01
43       58      5.83200E+01
43       59      8.57600E+01
43       60      1.08600E+02
43       61      1.20500E+02
43       62      1.32200E+02
43       63      1.45000E+02
43       64      1.59000E+02
43       65      1.61600E+02
43       66      1.24000E+02
43       67      8.16100E+01
43       68      7.26800E+01
43       69      6.41700E+01
43       70      3.94900E+01
43       71      1.58300E+01
43       72      2.08300E+00
43       73      0.00000E+00
43       74      0.00000E+00
43       75      2.46500E-02
43       76      1.55500E-03
43       77      0.00000E+00
43       78      0.00000E+00
43       79      0.00000E+00
43       80      0.00000E+00
43       81      0.00000E+00
43       82      0.00000E+00
43       83      0.00000E+00
43       84      0.00000E+00
43       85      0.00000E+00
43       86      0.00000E+00
43       87      0.00000E+00
43       88      2.93400E-05
43       89      1.86900E-02
43       90      3.80300E-02
43       91      0.00000E+00
43       92      0.00000E+00
43       93      0.00000E+00
43       94      6.87500E-01
43       95      4.23600E+00
43       96      1.62400E+01
43       97      3.52000E+01
43       98      5.01700E+01
43       99      5.54300E+01
43       100     5.88000E+01
43       101     6.72100E+01
43       102     7.52100E+01
43       103     7.94100E+01
43       104     8.34200E+01
44       1       3.27800E+02
44       2       3.92400E+02
44       3       4.15600E+02
44       4       4.43300E+02
44       5       4.68300E+02
44       6       3.44000E+02
44       7       2.33100E+02
44       8       1.98900E+02
44       9       1.92300E+02
44       10      1.97800E+02
44       11      1.99400E+02
44       12      2.06800E+02
44       13      2.53800E+02
44       14      2.87100E+02
44       15      2.41300E+02
44       16      1.92000E+02
44       17      1.99800E+02
44       18      2.32600E+02
44       19      2.82300E+02
44       20      3.58200E+02
44       21      4.02100E+02
44       22      4.22900E+02
44       23      4.96600E+02
44       24      5.70300E+02
44       25      5.77800E+02
44       26      5.10700E+02
44       27      4.30500E+02
44       28      4.05900E+02
44       29      4.06600E+02
44       30      4.71200E+02
44       31      6.39100E+02
44       32      7.20700E+02
44       33      5.91500E+02
44       34      4.96600E+02
44       35      5.50000E+02
44       36      5.00400E+02
44       37      3.32000E+02
44       38      2.27300E+02
44       39      1.79700E+02
44       40      1.35100E+02
44       41      1.07000E+02
44       42      1.04500E+02
44       43      1.07100E+02
44       44      1.00700E+02
44       45      9.32300E+01
44       46      1.00700E+02
44       47      1.06300E+02
44       48      8.44000E+01
44       49      6.36200E+01
44       50      6.94400E+01
44       51      7.84200E+01
44       52      7.79900E+01
44       53      8.09100E+01
44       54      8.51200E+01
44       55      7.50200E+01
44       56      5.75000E+01
44       57      5.08300E+01
44       58      5.98400E+01
44       59      8.61100E+01
44       60      1.14700E+02
44       61      1.20500E+02
44       62      1.19800E+02
44       63      1.33700E+02
44       64      1.54500E+02
44       65      1.60500E+02
44       66      1.26800E+02
44       67      9.72400E+01
44       68      1.00300E+02
44       69      8.41800E+01
44       70      4.98700E+01
44       71      2.61600E+01
44       72      1.04600E+01
44       73      1.83500E+00
44       74      0.00000E+00
44       75      0.00000E+00
44       76      5.22700E-03
44       77      0.00000E+00
44       78      0.00000E+00
44       79      0.00000E+00
44       80      0.00000E+00
44       81      0.00000E+00
44       82      0.00000E+00
44       83      0.00000E+00
44       84      0.00000E+00
44       85      0.00000E+00
44       86      0.00000E+00
44       87      0.00000E+00
44       88      0.00000E+00
44       89      0.00000E+00
44       90      0.00000E+00
44       91      1.12300E+00
44       92      4.47500E+00
44       93      7.88700E+00
44       94      6.56600E+00
44       95      1.51100E+00
44       96      3.63300E+00
44       97      1.32800E+01
44       98      2.29100E+01
44       99      3.11000E+01
44       100     3.66600E+01
44       101     4.63300E+01
44       102     5.58800E+01
44       103     6.01200E+01
44       104     6.44600E+01
45       1       2.98200E+02
45       2       3.46800E+02
45       3       3.23000E+02
45       4       3.20200E+02
45       5       3.59500E+02
45       6       2.83600E+02
45       7       2.22700E+02
45       8       1.94800E+02
45       9       1.69400E+02
45       10      1.57800E+02
45       11      1.53400E+02
45       12      1.89700E+02
45       13      2.48200E+02
45       14      2.73900E+02
45       15      2.52300E+02
45       16      2.09500E+02
45       17      1.87900E+02
45       18      1.99700E+02
45       19      2.52300E+02
45       20      3.17600E+02
45       21      3.35600E+02
45       22      3.80200E+02
45       23      4.85600E+02
45       24      5.34900E+02
45       25      5.18300E+02
45       26      4.89900E+02
45       27      4.56900E+02
45       28      4.22800E+02
45       29      4.33200E+02
45       30      5.79500E+02
45       31      7.53300E+02
45       32      7.05900E+02
45       33      5.05400E+02
45       34      4.80900E+02
45       35      5.66500E+02
45       36      4.46800E+02
45       37      2.62900E+02
45       38      1.98900E+02
45       39      1.68300E+02
45       40      1.32300E+02
45       41      1.05400E+02
45       42      9.23000E+01
45       43      8.72700E+01
45       44      9.10700E+01
45       45      9.58800E+01
45       46      9.79900E+01
45       47      1.06200E+02
45       48      9.83800E+01
45       49      6.86400E+01
45       50      5.60400E+01
45       51      6.53700E+01
45       52      7.23900E+01
45       53      7.76000E+01
45       54      8.19800E+01
45       55      7.33100E+01
45       56      6.33200E+01
45       57      6.13500E+01
45       58      5.93200E+01
45       59      7.92100E+01
45       60      1.13400E+02
45       61      1.17400E+02
45       62      1.11700E+02
45       63      1.27600E+02
45       64      1.49300E+02
45       65      1.55600E+02
45       66      1.34100E+02
45       67      1.25300E+02
45       68      1.32600E+02
45       69      1.08900E+02
45       70      7.29400E+01
45       71      4.31500E+01
45       72      2.30300E+01
45       73      1.04500E+01
45       74      9.92500E-01
45       75      0.00000E+00
45       76      0.00000E+00
45       77      0.00000E+00
45       78      0.00000E+00
45       79      0.00000E+00
45       80      0.00000E+00
45       81      0.00000E+00
45       82      0.00000E+00
45       83      0.00000E+00
45       84      0.00000E+00
45       85      0.00000E+00
45       86      0.00000E+00
45       87      0.00000E+00
45       88      0.00000E+00
45       89      0.00000E+00
45       90      6.94400E-03
45       91      2.95900E+00
45       92      1.22600E+01
45       93      2.54100E+01
45       94      2.97900E+01
45       95      1.82500E+01
45       96      6.32800E+00
45       97      2.15800E+00
45       98      5.22500E+00
45       99      1.26400E+01
45       100     1.57600E+01
45       101     2.40500E+01
45       102     3.67900E+01
45       103     4.30500E+01
45       104     4.61100E+01
46       1       2.54000E+02
46       2       2.67800E+02
46       3       2.49900E+02
46       4       2.52400E+02
46       5       2.62700E+02
46       6       2.10600E+02
46       7       1.95100E+02
46       8       2.05300E+02
46       9       1.82200E+02
46       10      1.54700E+02
46       11      1.49200E+02
46       12      1.80600E+02
46       13      2.23900E+02
46       14      2.45500E+02
46       15      2.55600E+02
46       16      2.41900E+02
46       17      2.00600E+02
46       18      1.82400E+02
46       19      2.18400E+02
46       20      2.67300E+02
46       21      3.12000E+02
46       22      3.76100E+02
46       23      4.22100E+02
46       24      4.47400E+02
46       25      4.78500E+02
46       26      4.71200E+02
46       27      4.33100E+02
46       28      4.39300E+02
46       29      5.00100E+02
46       30      5.90300E+02
46       31      6.23100E+02
46       32      5.00800E+02
46       33      3.87100E+02
46       34      4.69300E+02
46       35      5.10600E+02
46       36      3.52200E+02
46       37      2.21200E+02
46       38      1.80500E+02
46       39      1.50300E+02
46       40      1.26900E+02
46       41      1.07400E+02
46       42      9.56900E+01
46       43      9.25900E+01
46       44      9.88200E+01
46       45      1.04400E+02
46       46      9.72900E+01
46       47      9.82100E+01
46       48      9.46300E+01
46       49      6.70800E+01
46       50      5.25900E+01
46       51      6.39800E+01
46       52      7.49200E+01
46       53      7.77600E+01
46       54      7.60900E+01
46       55      6.62200E+01
46       56      6.81200E+01
46       57      7.76000E+01
46       58      6.53500E+01
46       59      7.00800E+01
46       60      1.04400E+02
46       61      1.14500E+02
46       62      1.11100E+02
46       63      1.28400E+02
46       64      1.48300E+02
46       65      1.51700E+02
46       66      1.43700E+02
46       67      1.48500E+02
46       68      1.46700E+02
46       69      1.21800E+02
46       70      9.39800E+01
46       71      5.72500E+01
46       72      3.08900E+01
46       73      1.72000E+01
46       74      3.55700E+00
46       75      0.00000E+00
46       76      0.00000E+00
46       77      0.00000E+00
46       78      0.00000E+00
46       79      0.00000E+00
46       80      0.00000E+00
46       81      0.00000E+00
46       82      0.00000E+00
46       83      0.00000E+00
46       84      0.00000E+00
46       85      0.00000E+00
46       86      0.00000E+00
46       87      0.00000E+00
46       88      0.00000E+00
46       89      0.00000E+00
46       90      0.00000E+00
46       91      1.26100E+00
46       92      6.25400E+00
46       93      1.77100E+01
46       94      3.23600E+01
46       95      3.75200E+01
46       96      2.66000E+01
46       97      7.76800E+00
46       98      1.38900E-02
46       99      2.09700E+00
46       100     2.23700E+00
46       101     6.18700E+00
46       102     1.76300E+01
46       103     2.62100E+01
46       104     2.91500E+01
47       1       2.11300E+02
47       2       2.08900E+02
47       3       2.03400E+02
47       4       2.06600E+02
47       5       1.77800E+02
47       6       1.33600E+02
47       7       1.50800E+02
47       8       2.01500E+02
47       9       1.92600E+02
47       10      1.55100E+02
47       11      1.46800E+02
47       12      1.67100E+02
47       13      2.07100E+02
47       14      2.28700E+02
47       15      2.32600E+02
47       16      2.34500E+02
47       17      2.17300E+02
47       18      1.98400E+02
47       19      2.02200E+02
47       20      2.44400E+02
47       21      3.40900E+02
47       22      4.28500E+02
47       23      4.50100E+02
47       24      4.46300E+02
47       25      4.47300E+02
47       26      4.26600E+02
47       27      4.24300E+02
47       28      5.13100E+02
47       29      5.98000E+02
47       30      5.71200E+02
47       31      4.76400E+02
47       32      3.80800E+02
47       33      3.67300E+02
47       34      4.18300E+02
47       35      3.81800E+02
47       36      2.90300E+02
47       37      2.35100E+02
47       38      1.76100E+02
47       39      1.33500E+02
47       40      1.21900E+02
47       41      1.14400E+02
47       42      1.08900E+02
47       43      1.01400E+02
47       44      1.06600E+02
47       45      1.14800E+02
47       46      1.06900E+02
47       47      9.98500E+01
47       48      8.61300E+01
47       49      6.30500E+01
47       50      5.67000E+01
47       51      6.66100E+01
47       52      7.49800E+01
47       53      7.73600E+01
47       54      7.54600E+01
47       55      6.52600E+01
47       56      6.71200E+01
47       57      8.50500E+01
47       58      8.10400E+01
47       59      7.04000E+01
47       60      8.60200E+01
47       61      9.96700E+01
47       62      1.08100E+02
47       63      1.31300E+02
47       64      1.50500E+02
47       65      1.51000E+02
47       66      1.44800E+02
47       67      1.52200E+02
47       68      1.55100E+02
47       69      1.36900E+02
47       70      1.05200E+02
47       71      6.18100E+01
47       72      3.17100E+01
47       73      1.75200E+01
47       74      5.35400E+00
47       75      4.82700E-02
47       76      0.00000E+00
47       77      0.00000E+00
47       78      0.00000E+00
47       79      0.00000E+00
47       80      0.00000E+00
47       81      0.00000E+00
47       82      0.00000E+00
47       83      0.00000E+00
47       84      0.00000E+00
47       85      0.00000E+00
47       86      0.00000E+00
47       87      0.00000E+00
47       88      2.93400E-05
47       89      1.24100E-02
47       90      0.00000E+00
47       91      0.00000E+00
47       92      0.00000E+00
47       93      1.89400E+00
47       94      1.31900E+01
47       95      2.85600E+01
47       96      3.51400E+01
47       97      2.34600E+01
47       98      4.96600E+00
47       99      2.08300E-02
47       100     5.55600E-02
47       101     1.69800E+00
47       102     6.11200E+00
47       103     1.24300E+01
47       104     1.48200E+01
48       1       1.82100E+02
48       2       1.77600E+02
48       3       1.74200E+02
48       4       1.66400E+02
48       5       1.26200E+02
48       6       9.55800E+01
48       7       1.10400E+02
48       8       1.59000E+02
48       9       1.77200E+02
48       10      1.54800E+02
48       11      1.43600E+02
48       12      1.56300E+02
48       13      1.89000E+02
48       14      2.08200E+02
48       15      2.01300E+02
48       16      1.92500E+02
48       17      1.97600E+02
48       18      2.19100E+02
48       19      2.24200E+02
48       20      2.64600E+02
48       21      3.91000E+02
48       22      5.16400E+02
48       23      5.80100E+02
48       24      5.48500E+02
48       25      4.55500E+02
48       26      4.11300E+02
48       27      4.42000E+02
48       28      5.28900E+02
48       29      6.43800E+02
48       30      6.95400E+02
48       31      6.02200E+02
48       32      4.69900E+02
48       33      4.02100E+02
48       34      3.45100E+02
48       35      2.97400E+02
48       36      2.68300E+02
48       37      2.23900E+02
48       38      1.61600E+02
48       39      1.24600E+02
48       40      1.18300E+02
48       41      1.22100E+02
48       42      1.19300E+02
48       43      9.82300E+01
48       44      9.57600E+01
48       45      1.06000E+02
48       46      1.07900E+02
48       47      1.02800E+02
48       48      8.34300E+01
48       49      6.76600E+01
48       50      6.35900E+01
48       51      6.43900E+01
48       52      7.04900E+01
48       53      7.89000E+01
48       54      8.06400E+01
48       55      6.93600E+01
48       56      6.55400E+01
48       57      8.08500E+01
48       58      8.77700E+01
48       59      7.55100E+01
48       60      7.18600E+01
48       61      8.35900E+01
48       62      1.03100E+02
48       63      1.31200E+02
48       64      1.51900E+02
48       65      1.51300E+02
48       66      1.43400E+02
48       67      1.56600E+02
48       68      1.76500E+02
48       69      1.60500E+02
48       70      1.09200E+02
48       71      5.80000E+01
48       72      3.15300E+01
48       73      2.05100E+01
48       74      9.04800E+00
48       75      7.08100E-01
48       76      0.00000E+00
48       77      1.25600E-02
48       78      0.00000E+00
48       79      0.00000E+00
48       80      0.00000E+00
48       81      0.00000E+00
48       82      0.00000E+00
48       83      0.00000E+00
48       84      0.00000E+00
48       85      0.00000E+00
48       86      0.00000E+00
48       87      0.00000E+00
48       88      0.00000E+00
48       89      3.22700E-04
48       90      1.36300E-02
48       91      0.00000E+00
48       92      0.00000E+00
48       93      0.00000E+00
48       94      5.03600E-01
48       95      6.31600E+00
48       96      1.87400E+01
48       97      2.53400E+01
48       98      1.48500E+01
48       99      2.17500E+00
48       100     0.00000E+00
48       101     7.00300E-01
48       102     1.81600E+00
48       103     4.17300E+00
48       104     5.78900E+00
49       1       1.61800E+02
49       2       1.54100E+02
49       3       1.50700E+02
49       4       1.40000E+02
49       5       1.11400E+02
49       6       9.71400E+01
49       7       1.04700E+02
49       8       1.35200E+02
49       9       1.62200E+02
49       10      1.53100E+02
49       11      1.34900E+02
49       12      1.38500E+02
49       13      1.57000E+02
49       14      1.71700E+02
49       15      1.74100E+02
49       16      1.68500E+02
49       17      1.79300E+02
49       18      2.24300E+02
49       19      2.56400E+02
49       20      2.83300E+02
49       21      3.84700E+02
49       22      5.21200E+02
49       23      5.88400E+02
49       24      5.63600E+02
49       25      4.79300E+02
49       26      3.99300E+02
49       27      3.79700E+02
49       28      4.41300E+02
49       29      6.07400E+02
49       30      7.86900E+02
49       31      7.78200E+02
49       32      5.85800E+02
49       33      3.94900E+02
49       34      2.95700E+02
49       35      2.68000E+02
49       36      2.29500E+02
49       37      1.74100E+02
49       38      1.41600E+02
49       39      1.22200E+02
49       40      1.16000E+02
49       41      1.27900E+02
49       42      1.21200E+02
49       43      9.13500E+01
49       44      9.06800E+01
49       45      1.00300E+02
49       46      1.03600E+02
49       47      1.02500E+02
49       48      8.60200E+01
49       49      7.47700E+01
49       50      6.82500E+01
49       51      6.17500E+01
49       52      6.49400E+01
49       53      7.53400E+01
49       54      8.08700E+01
49       55      7.42400E+01
49       56      7.01500E+01
49       57      8.03500E+01
49       58      8.47900E+01
49       59      7.59300E+01
49       60      7.54400E+01
49       61      8.64400E+01
49       62      1.02800E+02
49       63      1.24400E+02
49       64      1.43100E+02
49       65      1.46700E+02
49       66      1.44800E+02
49       67      1.65100E+02
49       68      1.87200E+02
49       69      1.59400E+02
49       70      1.01100E+02
49       71      5.90100E+01
49       72      3.90400E+01
49       73      3.06700E+01
49       74      1.64100E+01
49       75      1.86300E+00
49       76      0.00000E+00
49       77      0.00000E+00
49       78      0.00000E+00
49       79      0.00000E+00
49       80      0.00000E+00
49       81      0.00000E+00
