PL_01x01
  15
             Austria,  AT,  682,EMEP
  3   40  0.100000E+03
  3   41  0.100000E+03
  3   42  0.100000E+03
  3   43  0.100000E+03
  3   44  0.100000E+03
  3   45  0.100000E+03
  3   46  0.100000E+03
  3   47  0.100000E+03
  3   48  0.100000E+03
  3   49  0.100000E+03
  3   50  0.100000E+03
  3   51  0.100000E+03
  3   52  0.100000E+03
  3   53  0.100000E+03
  3   54  0.100000E+03
  3   55  0.100000E+03
  3   56  0.100000E+03
  3   57  0.100000E+03
  3   58  0.100000E+03
  3   59  0.100000E+03
  3   60  0.100000E+03
  3   61  0.100000E+03
  3   62  0.100000E+03
  3   63  0.100000E+03
  3   64  0.100000E+03
  3   65  0.100000E+03
  3   66  0.100000E+03
  3   67  0.100000E+03
  3   68  0.100000E+03
  3   69  0.100000E+03
  3   70  0.100000E+03
  3   71  0.493814E+02
  4    5  0.364797E+02
  4    6  0.100000E+03
  4    7  0.100000E+03
  4    8  0.100000E+03
  4    9  0.100000E+03
  4   10  0.100000E+03
  4   11  0.100000E+03
  4   12  0.100000E+03
  4   13  0.100000E+03
  4   14  0.100000E+03
  4   15  0.100000E+03
  4   16  0.100000E+03
  4   17  0.100000E+03
  4   18  0.100000E+03
  4   19  0.100000E+03
  4   20  0.100000E+03
  4   21  0.100000E+03
  4   22  0.100000E+03
  4   23  0.100000E+03
  4   24  0.100000E+03
  4   25  0.100000E+03
  4   26  0.100000E+03
  4   27  0.100000E+03
  4   28  0.100000E+03
  4   29  0.288116E+02
  4   31  0.433059E+02
  4   32  0.994456E+02
  4   33  0.100000E+03
  4   34  0.100000E+03
  4   35  0.100000E+03
  4   36  0.100000E+03
  4   37  0.100000E+03
  4   38  0.100000E+03
  4   39  0.100000E+03
  4   40  0.100000E+03
  4   41  0.100000E+03
  4   42  0.100000E+03
  4   43  0.100000E+03
  4   44  0.100000E+03
  4   45  0.100000E+03
  4   46  0.100000E+03
  4   47  0.100000E+03
  4   48  0.100000E+03
  4   49  0.100000E+03
  4   50  0.100000E+03
  4   51  0.100000E+03
  4   52  0.100000E+03
  4   53  0.100000E+03
  4   54  0.100000E+03
  4   55  0.100000E+03
  4   56  0.100000E+03
  4   57  0.100000E+03
  4   58  0.100000E+03
  4   59  0.100000E+03
  4   60  0.100000E+03
  4   61  0.100000E+03
  4   62  0.100000E+03
  4   63  0.100000E+03
  4   64  0.100000E+03
  4   65  0.100000E+03
  4   66  0.100000E+03
  4   67  0.100000E+03
  4   68  0.100000E+03
  4   69  0.100000E+03
  4   70  0.100000E+03
  4   71  0.795238E+02
  4   72  0.531651E+01
  5    5  0.389470E+02
  5    6  0.100000E+03
  5    7  0.100000E+03
  5    8  0.100000E+03
  5    9  0.100000E+03
  5   10  0.100000E+03
  5   11  0.100000E+03
  5   12  0.100000E+03
  5   13  0.100000E+03
  5   14  0.100000E+03
  5   15  0.100000E+03
  5   16  0.100000E+03
  5   17  0.100000E+03
  5   18  0.100000E+03
  5   19  0.100000E+03
  5   20  0.100000E+03
  5   21  0.100000E+03
  5   22  0.100000E+03
  5   23  0.100000E+03
  5   24  0.100000E+03
  5   25  0.956965E+02
  5   26  0.639646E+02
  5   27  0.970731E+02
  5   28  0.890418E+02
  5   29  0.530845E+00
  5   32  0.533494E+02
  5   33  0.100000E+03
  5   34  0.100000E+03
  5   35  0.100000E+03
  5   36  0.100000E+03
  5   37  0.100000E+03
  5   38  0.100000E+03
  5   39  0.100000E+03
  5   40  0.100000E+03
  5   41  0.100000E+03
  5   42  0.100000E+03
  5   43  0.100000E+03
  5   44  0.100000E+03
  5   45  0.100000E+03
  5   46  0.100000E+03
  5   47  0.100000E+03
  5   48  0.100000E+03
  5   49  0.100000E+03
  5   50  0.100000E+03
  5   51  0.100000E+03
  5   52  0.100000E+03
  5   53  0.100000E+03
  5   54  0.100000E+03
  5   55  0.100000E+03
  5   56  0.100000E+03
  5   57  0.100000E+03
  5   58  0.100000E+03
  5   59  0.100000E+03
  5   60  0.100000E+03
  5   61  0.100000E+03
  5   62  0.100000E+03
  5   63  0.100000E+03
  5   64  0.100000E+03
  5   65  0.100000E+03
  5   66  0.100000E+03
  5   67  0.100000E+03
  5   68  0.100000E+03
  5   69  0.100000E+03
  5   70  0.100000E+03
  5   71  0.871350E+02
  5   72  0.213067E+02
  5   73  0.178250E+02
  6    5  0.577721E+02
  6    6  0.100000E+03
  6    7  0.100000E+03
  6    8  0.100000E+03
  6    9  0.100000E+03
  6   10  0.100000E+03
  6   11  0.100000E+03
  6   12  0.100000E+03
  6   13  0.100000E+03
  6   14  0.100000E+03
  6   15  0.100000E+03
  6   16  0.100000E+03
  6   17  0.100000E+03
  6   18  0.100000E+03
  6   19  0.100000E+03
  6   20  0.100000E+03
  6   21  0.100000E+03
  6   22  0.100000E+03
  6   23  0.100000E+03
  6   24  0.843139E+02
  6   25  0.323381E+02
  6   27  0.172092E+02
  6   28  0.191968E+02
  6   32  0.311883E+01
  6   33  0.979614E+02
  6   34  0.100000E+03
  6   35  0.100000E+03
  6   36  0.100000E+03
  6   37  0.100000E+03
  6   38  0.100000E+03
  6   39  0.100000E+03
  6   40  0.100000E+03
  6   41  0.100000E+03
  6   42  0.100000E+03
  6   43  0.100000E+03
  6   44  0.100000E+03
  6   45  0.100000E+03
  6   46  0.100000E+03
  6   47  0.100000E+03
  6   48  0.100000E+03
  6   49  0.100000E+03
  6   50  0.100000E+03
  6   51  0.100000E+03
  6   52  0.100000E+03
  6   53  0.100000E+03
  6   54  0.100000E+03
  6   55  0.100000E+03
  6   56  0.100000E+03
